id,section,section_name,title,graph,status,census_rank
367,XXV,Semiring / provenance algebra,Incremental provenance update,C,partial,
368,XXV,Semiring / provenance algebra,Proof provenance,C,partial,
369,XXVI,Constraint solving as a universal backend,SAT/SMT for legality,D,protocol,
370,XXVI,Constraint solving as a universal backend,ILP for schedule/resource optimization,D,protocol,
371,XXVI,Constraint solving as a universal backend,Constraint programming for layout/placement,D,protocol,
372,XXVI,Constraint solving as a universal backend,MaxSAT for weighted realization selection,D,protocol,
373,XXVI,Constraint solving as a universal backend,Symbolic execution,D,protocol,
374,XXVI,Constraint solving as a universal backend,Abstract interpretation,D,protocol,
375,XXVI,Constraint solving as a universal backend,Polyhedral solvers,D,protocol,
376,XXVI,Constraint solving as a universal backend,E-graph search,D,protocol,
377,XXVI,Constraint solving as a universal backend,Superoptimizer search,D,protocol,
378,XXVI,Constraint solving as a universal backend,Agent search,D,protocol,
379,XXVII,Scheduling and placement across heterogeneous hardware,CPU big.LITTLE placement,D,research,
380,XXVII,Scheduling and placement across heterogeneous hardware,NUMA placement,D,research,
381,XXVII,Scheduling and placement across heterogeneous hardware,CPU/GPU partition,D,research,
382,XXVII,Scheduling and placement across heterogeneous hardware,CPU/NPU partition,D,research,
383,XXVII,Scheduling and placement across heterogeneous hardware,FPGA offload,D,research,
384,XXVII,Scheduling and placement across heterogeneous hardware,Distributed-node placement,D,research,
385,XXVII,Scheduling and placement across heterogeneous hardware,Memory-tier placement: registers/cache/HBM/DRAM/NVRAM/remote,D,research,
386,XXVII,Scheduling and placement across heterogeneous hardware,Data transfer minimization,D,research,
387,XXVII,Scheduling and placement across heterogeneous hardware,Kernel fusion across devices,D,research,
388,XXVII,Scheduling and placement across heterogeneous hardware,Asynchronous overlap,D,research,
389,XXVII,Scheduling and placement across heterogeneous hardware,Device occupancy modeling,D,research,
390,XXVII,Scheduling and placement across heterogeneous hardware,Energy-aware scheduling,D,research,
391,XXVII,Scheduling and placement across heterogeneous hardware,Thermal-aware scheduling,D,research,
392,XXVII,Scheduling and placement across heterogeneous hardware,Deadline-aware scheduling,D,research,
393,XXVII,Scheduling and placement across heterogeneous hardware,Cost/price-aware cloud scheduling,D,research,
394,XXVIII,Cache/memory hierarchy specialization,Cache-oblivious algorithm candidate generation,D,partial,
395,XXVIII,Cache/memory hierarchy specialization,Cache-aware tiling,D,partial,
396,XXVIII,Cache/memory hierarchy specialization,TLB-aware layout,D,partial,
397,XXVIII,Cache/memory hierarchy specialization,Page-color / hugepage-aware placement where useful,D,partial,
398,XXVIII,Cache/memory hierarchy specialization,Prefetch generation,D,partial,
399,XXVIII,Cache/memory hierarchy specialization,Software-managed cache/scratchpad mapping,D,partial,
400,XXVIII,Cache/memory hierarchy specialization,Hot/cold field splitting,D,partial,
401,XXVIII,Cache/memory hierarchy specialization,Pointer compression,D,partial,
402,XXVIII,Cache/memory hierarchy specialization,Object clustering,D,partial,
403,XXVIII,Cache/memory hierarchy specialization,Structure splitting,D,partial,
404,XXVIII,Cache/memory hierarchy specialization,AoS ↔ SoA ↔ AoSoA selection,D,partial,
405,XXVIII,Cache/memory hierarchy specialization,Compressed indexes,D,partial,
406,XXVIII,Cache/memory hierarchy specialization,NUMA replication vs migration,D,partial,
407,XXVIII,Cache/memory hierarchy specialization,Read-mostly duplication,D,partial,
408,XXVIII,Cache/memory hierarchy specialization,False-sharing avoidance,D,partial,
409,XXIX,Concurrency / parallel semantics,Dependence-based automatic parallelism,C,partial,
410,XXIX,Concurrency / parallel semantics,Effect commutativity,C,partial,
411,XXIX,Concurrency / parallel semantics,Lock elision,C,partial,
412,XXIX,Concurrency / parallel semantics,Lock coarsening/fission,C,partial,
413,XXIX,Concurrency / parallel semantics,Transactional realization,C,partial,
414,XXIX,Concurrency / parallel semantics,Atomic-width narrowing,C,partial,
415,XXIX,Concurrency / parallel semantics,Memory-order weakening to minimum demanded order,C,partial,
416,XXIX,Concurrency / parallel semantics,Ownership-transfer synchronization elimination,C,partial,
417,XXIX,Concurrency / parallel semantics,Task fusion,C,partial,
418,XXIX,Concurrency / parallel semantics,Task granularity tuning,C,partial,
419,XXIX,Concurrency / parallel semantics,Work stealing vs static partition,C,partial,
420,XXIX,Concurrency / parallel semantics,Deterministic execution when demanded,C,partial,
421,XXIX,Concurrency / parallel semantics,Race-freedom proof as realization freedom,C,partial,
422,XXIX,Concurrency / parallel semantics,Parallel reduction associativity derived from relation law,C,partial,
423,XXIX,Concurrency / parallel semantics,Speculative parallelism with rollback,C,partial,
424,XXX,Coroutine / async / continuation specialization,Continuation demand,D,partial,
425,XXX,Coroutine / async / continuation specialization,State-machine minimization,D,partial,
426,XXX,Coroutine / async / continuation specialization,Frame field liveness,D,partial,
427,XXX,Coroutine / async / continuation specialization,Frame scalar replacement,D,partial,
428,XXX,Coroutine / async / continuation specialization,Nonescaping coroutine stack realization,D,partial,
429,XXX,Coroutine / async / continuation specialization,Coroutine fusion,D,partial,
430,XXX,Coroutine / async / continuation specialization,Scheduler removal when execution order sealed,D,partial,
431,XXX,Coroutine / async / continuation specialization,Direct callback conversion,D,partial,
432,XXX,Coroutine / async / continuation specialization,Tail continuation reuse,D,partial,
433,XXX,Coroutine / async / continuation specialization,Async state compression,D,partial,
434,XXX,Coroutine / async / continuation specialization,Cross-await rematerialization vs storage,D,partial,
435,XXXI,Memory management / GC specialization,GC necessity derived from lifetime facts,D,partial,
436,XXXI,Memory management / GC specialization,Region inference,D,partial,
437,XXXI,Memory management / GC specialization,Arena inference,D,partial,
438,XXXI,Memory management / GC specialization,Stack promotion,D,partial,
439,XXXI,Memory management / GC specialization,Reference counting elimination,D,partial,
440,XXXI,Memory management / GC specialization,RC batching,D,partial,
441,XXXI,Memory management / GC specialization,Cycle tracking only where possible cycles exist,D,partial,
442,XXXI,Memory management / GC specialization,Generational placement from lifetime predictions,D,partial,
443,XXXI,Memory management / GC specialization,Tracing scope specialization,D,partial,
444,XXXI,Memory management / GC specialization,Barrier elimination,D,partial,
445,XXXI,Memory management / GC specialization,Pointer map minimization,D,partial,
446,XXXI,Memory management / GC specialization,Custom allocator synthesis,D,partial,
447,XXXI,Memory management / GC specialization,Object pooling where beneficial,D,partial,
448,XXXI,Memory management / GC specialization,Allocation sinking,D,partial,
449,XXXI,Memory management / GC specialization,Allocation hoisting,D,partial,
450,XXXI,Memory management / GC specialization,Allocation removal via recomputation,D,partial,
451,XXXII,Strings / parsing / serialization,Rope vs flat vs view vs static literal selection,D,partial,
452,XXXII,Strings / parsing / serialization,Substring views,D,partial,
453,XXXII,Strings / parsing / serialization,Parser fusion with consumer,D,partial,
454,XXXII,Strings / parsing / serialization,Validation fusion with parse,D,partial,
455,XXXII,Strings / parsing / serialization,Parse only demanded fields,D,partial,
456,XXXII,Strings / parsing / serialization,Lazy decoding,D,partial,
457,XXXII,Strings / parsing / serialization,Direct formatting to sink,D,partial,
458,XXXII,Strings / parsing / serialization,Serializer fusion,D,partial,
459,XXXII,Strings / parsing / serialization,Zero-copy field access,D,partial,
460,XXXII,Strings / parsing / serialization,SIMD lexing/scanning,D,partial,
461,XXXII,Strings / parsing / serialization,Perfect-hash keyword recognition,D,partial,
462,XXXII,Strings / parsing / serialization,Finite automata compilation,D,partial,
463,XXXII,Strings / parsing / serialization,Parser specialization to known grammar,D,partial,
464,XXXII,Strings / parsing / serialization,Protocol parser hardware/vector acceleration,D,partial,
465,XXXII,Strings / parsing / serialization,Schema-aware elision of defaults,D,partial,
466,XXXII,Strings / parsing / serialization,Encoding selection,D,partial,
467,XXXII,Strings / parsing / serialization,Compressed-domain operations without decompression,D,partial,
468,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Affine recurrence solving,C,measured,10
469,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Polynomial recurrence solving,C,measured,
470,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Linear recurrence with constant coefficients,C,measured,
471,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Matrix recurrence / exponentiation,C,measured,
472,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Finite-state recurrence quotienting,C,measured,
473,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Modular/congruence recurrence,C,measured,
474,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Monotone fixed-point shortcutting,C,measured,
475,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Absorbing-state early termination,C,measured,
476,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Idempotent convergence detection,C,measured,
477,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Periodic-state detection,C,measured,
478,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Closed-form summations,C,measured,
479,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Generating-function candidate synthesis,C,measured,
480,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Symbolic loop bounds,C,measured,
481,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Induction-variable elimination,C,measured,
482,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Strength reduction,C,measured,
483,XXXIII,Symbolic / recurrence / algorithmic closed-form optimization,Algorithm substitution from recognized semantics,C,measured,
484,XXXIV,Algorithm selection,Sort vs select/top-k,D,partial,10
485,XXXIV,Algorithm selection,Linear scan vs hash/index,D,partial,
486,XXXIV,Algorithm selection,Hash vs tree vs sorted vector,D,partial,
487,XXXIV,Algorithm selection,Dense vs sparse matrix,D,partial,
488,XXXIV,Algorithm selection,FFT vs direct convolution,D,partial,
489,XXXIV,Algorithm selection,FFT algorithm/factorization selection,D,partial,
490,XXXIV,Algorithm selection,Strassen-like matrix multiplication where worthwhile,D,partial,
491,XXXIV,Algorithm selection,Graph algorithm variants selected by density/topology,D,partial,
492,XXXIV,Algorithm selection,Dynamic programming vs closed form,D,partial,
493,XXXIV,Algorithm selection,Memoization vs recomputation,D,partial,
494,XXXIV,Algorithm selection,Streaming vs batch,D,partial,
495,XXXIV,Algorithm selection,Exact vs approximate,D,partial,
496,XXXIV,Algorithm selection,Precompute vs runtime compute,D,partial,
497,XXXIV,Algorithm selection,Lookup table vs arithmetic,D,partial,
498,XXXIV,Algorithm selection,Static perfect hash vs generic hash,D,partial,
499,XXXIV,Algorithm selection,Specialized parser/table-driven parser,D,partial,
500,XXXIV,Algorithm selection,Vendor library vs generated kernel vs synthesized kernel,D,partial,
501,XXXV,Machine instruction and microarchitecture modeling,Latency/throughput/uop cost,D,protocol,
502,XXXV,Machine instruction and microarchitecture modeling,Port pressure,D,protocol,
503,XXXV,Machine instruction and microarchitecture modeling,Macro/micro fusion,D,protocol,
504,XXXV,Machine instruction and microarchitecture modeling,Instruction encoding size,D,protocol,
505,XXXV,Machine instruction and microarchitecture modeling,Decode width,D,protocol,
506,XXXV,Machine instruction and microarchitecture modeling,uop-cache residency,D,protocol,
507,XXXV,Machine instruction and microarchitecture modeling,Register renaming pressure,D,protocol,
508,XXXV,Machine instruction and microarchitecture modeling,ROB pressure,D,protocol,
509,XXXV,Machine instruction and microarchitecture modeling,Load/store queue pressure,D,protocol,
510,XXXV,Machine instruction and microarchitecture modeling,Branch predictor behavior,D,protocol,
511,XXXV,Machine instruction and microarchitecture modeling,Memory-level parallelism,D,protocol,
512,XXXV,Machine instruction and microarchitecture modeling,Store forwarding,D,protocol,
513,XXXV,Machine instruction and microarchitecture modeling,Partial-register hazards,D,protocol,
514,XXXV,Machine instruction and microarchitecture modeling,Address-generation-unit pressure,D,protocol,
515,XXXV,Machine instruction and microarchitecture modeling,SIMD lane utilization,D,protocol,
516,XXXV,Machine instruction and microarchitecture modeling,Instruction alignment,D,protocol,
517,XXXV,Machine instruction and microarchitecture modeling,Code/data prefetch,D,protocol,
518,XXXV,Machine instruction and microarchitecture modeling,Target-specific idiom formation,D,protocol,
519,XXXV,Machine instruction and microarchitecture modeling,Cross-instruction superoptimization,D,protocol,
520,XXXV,Machine instruction and microarchitecture modeling,Machine cost calibration from measured hardware instead of static tables only,D,protocol,
521,XXXVI,Security-sensitive realization,Constant-time demand,C,partial,
522,XXXVI,Security-sensitive realization,Oblivious memory access demand,C,partial,
523,XXXVI,Security-sensitive realization,Speculation-safe realization,C,partial,
524,XXXVI,Security-sensitive realization,Bounds-check elimination only with proof,C,partial,
525,XXXVI,Security-sensitive realization,Control-flow integrity,C,partial,
526,XXXVI,Security-sensitive realization,Pointer authentication,C,partial,
527,XXXVI,Security-sensitive realization,CHERI capability realization,C,partial,
528,XXXVI,Security-sensitive realization,Memory tagging,C,partial,
529,XXXVI,Security-sensitive realization,Secret/public information-flow facts,C,partial,
530,XXXVI,Security-sensitive realization,Side-channel observation model,C,partial,
531,XXXVI,Security-sensitive realization,Zeroization demand,C,partial,
532,XXXVI,Security-sensitive realization,Secure erasure proof,C,partial,
533,XXXVI,Security-sensitive realization,Sandbox boundary realization,C,partial,
534,XXXVI,Security-sensitive realization,Least-authority world derivation,C,partial,
535,XXXVII,Distributed and remote computation,Relation placement across machines,D,research,
536,XXXVII,Distributed and remote computation,RPC elimination when co-located,D,research,
537,XXXVII,Distributed and remote computation,RPC batching,D,research,
538,XXXVII,Distributed and remote computation,Serialization elimination with shared representation,D,research,
539,XXXVII,Distributed and remote computation,Data locality placement,D,research,
540,XXXVII,Distributed and remote computation,Replication vs remote access,D,research,
541,XXXVII,Distributed and remote computation,Consistency-model demand,D,research,
542,XXXVII,Distributed and remote computation,Fault-tolerance demand,D,research,
543,XXXVII,Distributed and remote computation,Retry/idempotence law use,D,research,
544,XXXVII,Distributed and remote computation,Distributed incremental computation,D,research,
545,XXXVII,Distributed and remote computation,Remote accelerator scheduling,D,research,
546,XXXVII,Distributed and remote computation,Edge/cloud split selection,D,research,
547,XXXVII,Distributed and remote computation,Network cost included in realization economics,D,research,
548,XXXVIII,JIT/AOT continuum,Per-region AOT/JIT selection,D,partial,
549,XXXVIII,JIT/AOT continuum,Baseline fast compiler,D,partial,
550,XXXVIII,JIT/AOT continuum,Optimizing compiler only for valuable regions,D,partial,
551,XXXVIII,JIT/AOT continuum,Profile-triggered recompilation,D,partial,
552,XXXVIII,JIT/AOT continuum,Code cache management,D,partial,
553,XXXVIII,JIT/AOT continuum,Version eviction,D,partial,
554,XXXVIII,JIT/AOT continuum,Multiversioning,D,partial,
555,XXXVIII,JIT/AOT continuum,Guarded deoptimization,D,partial,
556,XXXVIII,JIT/AOT continuum,Ahead-of-time speculative variants,D,partial,
557,XXXVIII,JIT/AOT continuum,Persistent compiled artifacts across runs,D,partial,
558,XXXVIII,JIT/AOT continuum,Cross-machine/fleet specialization caches,D,partial,
559,XXXVIII,JIT/AOT continuum,Install-time specialization,D,partial,
560,XXXVIII,JIT/AOT continuum,Startup-time specialization,D,partial,
561,XXXIX,Compiler compile-time architecture itself,Compiler query evaluation only on demand,E,partial,
562,XXXIX,Compiler compile-time architecture itself,Lazy graph facts,E,partial,
563,XXXIX,Compiler compile-time architecture itself,Compact immutable data structures,E,partial,
564,XXXIX,Compiler compile-time architecture itself,No generic allocation per fact,E,partial,
565,XXXIX,Compiler compile-time architecture itself,Parallel independent graph-region processing,E,partial,
566,XXXIX,Compiler compile-time architecture itself,Work stealing in compiler,E,partial,
567,XXXIX,Compiler compile-time architecture itself,Persistent analysis state,E,partial,
568,XXXIX,Compiler compile-time architecture itself,Incremental semantic graph,E,partial,
569,XXXIX,Compiler compile-time architecture itself,Precompiled grammar/standard law tables,E,partial,
570,XXXIX,Compiler compile-time architecture itself,Fast baseline realization path,E,partial,
571,XXXIX,Compiler compile-time architecture itself,Selective expensive optimization,E,partial,
572,XXXIX,Compiler compile-time architecture itself,Optimization value-of-information,E,partial,
573,XXXIX,Compiler compile-time architecture itself,Cached proof results,E,partial,
574,XXXIX,Compiler compile-time architecture itself,Compiler self-profiling,E,partial,
575,XXXIX,Compiler compile-time architecture itself,Compiler layout/branch optimization because compiler B itself is a hot workload,E,partial,
576,XXXIX,Compiler compile-time architecture itself,Build-server persistence without semantic stale-state risks,E,partial,
577,XXXIX,Compiler compile-time architecture itself,Distributed compilation by exact graph subdependency,E,partial,
578,XL,Agent-native compiler capabilities,Stable semantic ids exposed to agents,A,partial,
579,XL,Agent-native compiler capabilities,Graph-diff instead of textual diff,A,partial,
580,XL,Agent-native compiler capabilities,Semantic patching,A,partial,
581,XL,Agent-native compiler capabilities,Fact-level code review,A,partial,
582,XL,Agent-native compiler capabilities,Agent queries over unresolved facts,A,partial,
583,XL,Agent-native compiler capabilities,Agent-generated candidate transformations,A,partial,
584,XL,Agent-native compiler capabilities,Automatic law discovery suggestions,A,partial,
585,XL,Agent-native compiler capabilities,Counterexample generation,A,partial,
586,XL,Agent-native compiler capabilities,Automatic benchmark generation,A,partial,
587,XL,Agent-native compiler capabilities,Semantic provenance explanations,A,partial,
588,XL,Agent-native compiler capabilities,why / why not realization explanations,A,partial,
589,XL,Agent-native compiler capabilities,Agent checks for duplicated ontology,A,partial,
590,XL,Agent-native compiler capabilities,Agent checks for fact loss,A,partial,
591,XL,Agent-native compiler capabilities,Agent checks for premature materialization,A,partial,
592,XL,Agent-native compiler capabilities,Agent decomposition of compound vocabulary,A,partial,
593,XL,Agent-native compiler capabilities,Automatic SHC ownership-boundary detection,A,partial,
594,XL,Agent-native compiler capabilities,Automatic optimization-debt ranking from physical measurements,A,partial,
595,XL,Agent-native compiler capabilities,"Agents operate on semantic graph/MCP, not grep/text where avoidable",A,partial,
596,XLI,Language-level expressiveness still worth exploring,Effect-polymorphic relations without explicit effect-system ceremony,C,law,
597,XLI,Language-level expressiveness still worth exploring,Descriptor refinement through ordinary facts,C,law,
598,XLI,Language-level expressiveness still worth exploring,Dependent facts / value-dependent descriptors where inferable,C,law,
599,XLI,Language-level expressiveness still worth exploring,Refinement contracts without separate type syntax,C,law,
600,XLI,Language-level expressiveness still worth exploring,Higher-kinded relation composition only if expressible through descriptor/pack laws rather than new syntax,C,law,
601,XLI,Language-level expressiveness still worth exploring,Linear/affine ownership facts without a Rust-like borrow-checker surface,C,law,
602,XLI,Language-level expressiveness still worth exploring,Uniqueness facts,C,law,
603,XLI,Language-level expressiveness still worth exploring,Capability/authority inference,C,law,
604,XLI,Language-level expressiveness still worth exploring,Stage inference,C,law,
605,XLI,Language-level expressiveness still worth exploring,World inference,C,law,
606,XLI,Language-level expressiveness still worth exploring,Automatic relation projection/injection,C,law,
607,XLI,Language-level expressiveness still worth exploring,Bidirectional pattern/relation inversion,C,law,
608,XLI,Language-level expressiveness still worth exploring,Logic programming / relation solving as an ordinary relation capability,C,law,
609,XLI,Language-level expressiveness still worth exploring,Constraint relations,C,law,
610,XLI,Language-level expressiveness still worth exploring,Nondeterministic relation semantics where required,C,law,
611,XLI,Language-level expressiveness still worth exploring,"Search as realization, not language construct",C,law,
612,XLI,Language-level expressiveness still worth exploring,Probabilistic relation lawsets,C,law,
613,XLI,Language-level expressiveness still worth exploring,Reactive/incremental relation lawsets,C,law,
614,XLI,Language-level expressiveness still worth exploring,Distributed relation lawsets,C,law,
615,XLII,Relation algebra specifically,Composition f ∘ g,C,partial,
616,XLII,Relation algebra specifically,Identity relation,C,partial,
617,XLII,Relation algebra specifically,Partial relations,C,partial,
618,XLII,Relation algebra specifically,Total relations,C,partial,
619,XLII,Relation algebra specifically,Inverse relation,C,partial,
620,XLII,Relation algebra specifically,Left/right inverse facts,C,partial,
621,XLII,Relation algebra specifically,Kernel/equivalence induced by relation,C,partial,
622,XLII,Relation algebra specifically,Image/preimage,C,partial,
623,XLII,Relation algebra specifically,Restriction by descriptor/world/demand,C,partial,
624,XLII,Relation algebra specifically,Relation union/intersection where meaningful,C,partial,
625,XLII,Relation algebra specifically,Relation product over packs,C,partial,
626,XLII,Relation algebra specifically,Currying/uncurrying as pack projections,C,partial,
627,XLII,Relation algebra specifically,Associative composition,C,partial,
628,XLII,Relation algebra specifically,Functorial mapping over structure,C,partial,
629,XLII,Relation algebra specifically,Homomorphism facts,C,partial,
630,XLII,Relation algebra specifically,"Natural transformation-like compatibility between descriptor families, if useful without importing category-theory syntax",C,partial,
631,XLII,Relation algebra specifically,Monoidal composition for independent effects/data,C,partial,
632,XLII,Relation algebra specifically,Semiring-like combination for weighted/search relations,C,partial,
633,XLII,Relation algebra specifically,Fixed points,C,partial,
634,XLII,Relation algebra specifically,Least/greatest fixpoint lawsets,C,partial,
635,XLII,Relation algebra specifically,Transitive closure,C,partial,
636,XLII,Relation algebra specifically,Reachability as derived relation,C,partial,
637,XLII,Relation algebra specifically,Adjoint-like relationships where useful for optimization,C,partial,
638,XLII,Relation algebra specifically,Differentiation/change relation,C,partial,
639,XLII,Relation algebra specifically,Refinement ordering between relations,C,partial,
640,XLII,Relation algebra specifically,Equivalence classes of relations under demanded observations,C,partial,
641,XLIII,Injection / projection / interjection algebra specifically,Projection composition,C,partial,
642,XLIII,Injection / projection / interjection algebra specifically,Projection idempotence,C,partial,
643,XLIII,Injection / projection / interjection algebra specifically,Projection commutation,C,partial,
644,XLIII,Injection / projection / interjection algebra specifically,Projection subsumption,C,partial,
645,XLIII,Injection / projection / interjection algebra specifically,Demand-induced projection,C,partial,
646,XLIII,Injection / projection / interjection algebra specifically,Injection composition,C,partial,
647,XLIII,Injection / projection / interjection algebra specifically,Injection compatibility,C,partial,
648,XLIII,Injection / projection / interjection algebra specifically,Injection conflict detection,C,partial,
649,XLIII,Injection / projection / interjection algebra specifically,Injection monotonicity,C,partial,
650,XLIII,Injection / projection / interjection algebra specifically,Injection override/interjection distinction,C,partial,
651,XLIII,Injection / projection / interjection algebra specifically,Interjection scoping,C,partial,
652,XLIII,Injection / projection / interjection algebra specifically,Interjection rollback semantics,C,partial,
653,XLIII,Injection / projection / interjection algebra specifically,World extension law,C,partial,
654,XLIII,Injection / projection / interjection algebra specifically,World restriction law,C,partial,
655,XLIII,Injection / projection / interjection algebra specifically,World quotient under observation,C,partial,
656,XLIII,Injection / projection / interjection algebra specifically,Minimal sufficient world,C,partial,
657,XLIII,Injection / projection / interjection algebra specifically,World dependency closure,C,partial,
658,XLIII,Injection / projection / interjection algebra specifically,Automatic injected-fact propagation,C,partial,
659,XLIII,Injection / projection / interjection algebra specifically,Dead injected-fact elimination,C,partial,
660,XLIII,Injection / projection / interjection algebra specifically,Injection specialization / static erase,C,partial,
661,XLIII,Injection / projection / interjection algebra specifically,Cross-world relation transport,C,partial,
662,XLIII,Injection / projection / interjection algebra specifically,Witness transport across compatible worlds,C,partial,
663,XLIII,Injection / projection / interjection algebra specifically,Authority attenuation under projection,C,partial,
664,XLIII,Injection / projection / interjection algebra specifically,Capability derivation under injection,C,partial,
665,XLIII,Injection / projection / interjection algebra specifically,World merge with exact conflict semantics,C,partial,
666,XLIII,Injection / projection / interjection algebra specifically,Injection cache reuse via exact dependency closure,C,partial,
667,XLIV,Lower-bound / theoretical-computing frontier,Information-theoretic lower bounds,E,partial,20
668,XLIV,Lower-bound / theoretical-computing frontier,Decision-tree lower bounds,E,partial,
669,XLIV,Lower-bound / theoretical-computing frontier,Comparison complexity,E,partial,
670,XLIV,Lower-bound / theoretical-computing frontier,Communication complexity,E,partial,
671,XLIV,Lower-bound / theoretical-computing frontier,I/O complexity / external-memory lower bounds,E,partial,
672,XLIV,Lower-bound / theoretical-computing frontier,Cache-oblivious lower bounds,E,partial,
673,XLIV,Lower-bound / theoretical-computing frontier,Work/span parallel lower bounds,E,partial,
674,XLIV,Lower-bound / theoretical-computing frontier,Circuit depth/area lower bounds,E,partial,
675,XLIV,Lower-bound / theoretical-computing frontier,Streaming-memory lower bounds,E,partial,
676,XLIV,Lower-bound / theoretical-computing frontier,State-complexity lower bounds,E,partial,
677,XLIV,Lower-bound / theoretical-computing frontier,Automata minimization,E,partial,
678,XLIV,Lower-bound / theoretical-computing frontier,Kolmogorov-style compression intuition where computable proxies exist,E,partial,
679,XLIV,Lower-bound / theoretical-computing frontier,Lower bounds from algebraic decision trees,E,partial,
680,XLIV,Lower-bound / theoretical-computing frontier,Graph algorithm conditional lower bounds,E,partial,
681,XLIV,Lower-bound / theoretical-computing frontier,Bit complexity vs word-RAM complexity distinctions,E,partial,
682,XLIV,Lower-bound / theoretical-computing frontier,Energy lower bounds / data movement as dominant physical cost,E,partial,
683,XLIV,Lower-bound / theoretical-computing frontier,Landauer-style irreversibility considerations as theoretical limits,E,partial,
684,XLIV,Lower-bound / theoretical-computing frontier,Communication avoidance as first-class optimization target,E,partial,
685,XLIV,Lower-bound / theoretical-computing frontier,Memory traffic lower bound,E,partial,
686,XLIV,Lower-bound / theoretical-computing frontier,Minimal observation sufficient statistic,E,partial,
687,XLIV,Lower-bound / theoretical-computing frontier,Prove OPTIMAL rather than endlessly trying to beat an impossible floor,E,partial,
688,XLVI,Supercompilation & optimal reduction,Supercompilation / fold-unfold / generalized partial computation,D,research,8
689,XLVI,Supercompilation & optimal reduction,Optimal graph reduction / interaction nets,D,research,
690,XLVII,Relational solving & search taxonomy,Relational execution / running semantics backward,B,research,19
691,XLVII,Relational solving & search taxonomy,Search completeness as a semantic property,C,law,
692,XLVIII,Deductive synthesis & trusted extensibility,Deductive synthesis / proof-directed program construction,D,protocol,
693,XLVIII,Deductive synthesis & trusted extensibility,"Proof-producing optimization extensions, eBPF-style",C,protocol,12
694,XLVIII,Deductive synthesis & trusted extensibility,Compiler extension without enlarging semantic authority,D,protocol,
695,XLIX,"Kernel, OS & syscall boundary",Kernel / OS specialization and unikernel-style elimination,D,research,
696,XLIX,"Kernel, OS & syscall boundary",Compiler ↔ kernel cooperation,D,research,
697,XLIX,"Kernel, OS & syscall boundary",Syscall elimination and syscall fusion,D,research,
698,L,Storage & network topology,Storage-aware compilation,D,research,
699,L,Storage & network topology,Network protocol and topology realization,D,research,
700,LI,Communication & movement complexity,Communication complexity as optimizer guidance,E,partial,
701,LI,Communication & movement complexity,Red/blue pebble / data-movement complexity,E,research,
702,LII,Recompute/store & memoization algebras,Recompute/store as a universal duality,B,protocol,
703,LII,Recompute/store & memoization algebras,Semantic memoization,B,research,
704,LII,Recompute/store & memoization algebras,Observation-relative memoization,B,partial,17
705,LII,Recompute/store & memoization algebras,Semantic caching across different programs,E,protocol,
706,LIII,Minimal sufficient semantics,Minimal sufficient semantics / sufficient statistics,B,partial,1
707,LIII,Minimal sufficient semantics,Automatic discovery of semantic sufficient statistics,B,research,
708,LIII,Minimal sufficient semantics,Information-flow sensitivity as optimization,B,research,
709,LIV,Equivalence machinery beyond expressions,Logical relations as equivalence machinery,C,research,
710,LIV,Equivalence machinery beyond expressions,Bisimulation for stateful/reactive equivalence,C,research,
711,LIV,Equivalence machinery beyond expressions,Trace quotienting,A,research,
712,LV,Temporal logic & automata,Temporal logic as demand/law,C,research,
713,LV,Temporal logic & automata,Protocol/state-machine minimization,D,research,
714,LV,Temporal logic & automata,Symbolic automaton synthesis,D,research,
715,LVI,Parsing realization diversity,Parser derivatives / derivative-based parsing,D,research,
716,LVI,Parsing realization diversity,Parsing expression / automata hybrid selection,D,partial,
717,LVII,Dispatch & succinct structures,Decision-tree synthesis for semantic dispatch,D,research,10
718,LVII,Dispatch & succinct structures,Entropy-optimal dispatch,D,research,
719,LVII,Dispatch & succinct structures,Succinct data structures,D,research,
720,LVII,Dispatch & succinct structures,Learned data structures as candidates,D,protocol,
721,LVII,Dispatch & succinct structures,Learned compilation without learned correctness,D,protocol,
722,LVIII,Learned & uncertain optimization,Meta-learning across compilation history,D,protocol,
723,LVIII,Learned & uncertain optimization,Multi-objective Bayesian optimization,E,research,
724,LVIII,Learned & uncertain optimization,Regret-minimizing compilation,E,research,
725,LVIII,Learned & uncertain optimization,Robust optimization under uncertain profiles,E,research,
726,LIX,"Online, amortized & adaptive representations",Online algorithm realization,C,research,
